STATION,YEAR,BOARDS,ALIGHTS
Stony Island,2018,99,86
Bryn Mawr,2018,73,61
South Shore,2018,121,111
Windsor Park,2018,68,55
Cheltenham (79th Street),2018,47,37
83rd Street,2018,74,74
87th Street,2018,106,97
93rd Street (South Chicago),2018,472,512
State Street,2018,41,33
Stewart Ridge,2018,19,20
West Pullman,2018,13,9
Racine Avenue,2018,28,24
Ashland Avenue,2018,97,98
Burr Oak,2018,89,100
Blue Island,2018,197,136
Millennium Station,2018,9292,8755
Van Buren Street,2018,2734,3493
Roosevelt Road,2018,370,477
18th Street,2018,23,30
McCormick Place,2018,124,145
27th Street,2018,12,14
47th Street (Kenwood),2018,94,109
53rd Street (Hyde Park),2018,671,728
55th-56th-57th Street,2018,1133,1022
59th Street (University of Chicago),2018,812,934
63rd Street,2018,167,165
75th Street (Grand Crossing),2018,14,20
79th Street (Chatham),2018,50,58
83rd Street (Avalon Park),2018,56,62
87th Street (Woodruff),2018,56,51
91st Street (Chesterfield),2018,23,32
95th Street (Chicago State University),2018,24,24
103rd Street (Rosemoor),2018,36,34
107th Street,2018,27,23
111th Street,2018,31,49
Kensington (115th Street),2018,1136,1043
Riverdale,2018,146,162
Ivanhoe,2018,520,514
147th Street (Sibley Boulevard),2018,829,757
Harvey,2018,471,496
Hazel Crest,2018,261,238
Calumet,2018,1077,1060
Homewood,2018,1171,1143
Flossmoor,2018,859,787
Olympia Fields,2018,679,695
211th Street (Lincoln Highway),2018,527,565
Matteson,2018,591,597
Richton Park,2018,1059,915
University Park,2018,808,777
LaSalle Street,2018,12606,12739
Gresham,2018,313,312
Longwood (95th Street),2018,3,58
Washington Heights,2018,101,123
Blue Island (Vermont Street),2018,479,549
Robbins,2018,65,137
Midlothian,2018,938,890
Oak Forest,2018,1091,996
Tinley Park,2018,917,954
80th Avenue (Tinley Park),2018,2064,1982
Hickory Creek,2018,1079,996
Mokena,2018,559,557
New Lenox,2018,1046,1035
Joliet,2018,776,783
Brainerd,2018,265,258
91st Street (Beverly Hills),2018,368,391
95th Street (Beverly Hills),2018,443,443
99th Street (Beverly Hills),2018,645,644
103rd Street (Beverly Hills),2018,734,731
107th Street (Beverly Hills),2018,395,368
111th Street (Morgan Park),2018,548,497
115th Street (Morgan Park),2018,136,130
119th Street,2018,269,264
123rd Street,2018,53,36
Prairie Street,2018,30,24
Union Station,2018,54882,55979
Wrightwood,2018,261,260
Ashburn,2018,229,200
Oak Lawn,2018,1186,1248
Chicago Ridge,2018,372,322
Worth,2018,406,382
Palos Heights,2018,232,241
Palos Park,2018,424,423
143rd Street (Orland Park),2018,591,552
153rd Street (Orland Park),2018,544,567
179th Street (Orland Park),2018,208,177
Laraway Road,2018,19,20
Manhattan,2018,19,18
Summit,2018,101,103
Willow Springs,2018,148,159
Lemont,2018,455,434
Romeoville,2018,148,144
Lockport,2018,344,327
Halsted Street,2018,115,107
Western Avenue (18th),2018,57,73
Cicero,2018,136,183
LaVergne,2018,174,184
Berwyn,2018,669,646
Harlem Avenue,2018,451,383
Riverside,2018,493,574
Hollywood,2018,120,104
Brookfield,2018,546,656
Congress Park,2018,368,340
LaGrange Road,2018,1452,1532
Stone Avenue (LaGrange),2018,946,822
Western Springs,2018,1134,1190
Highlands,2018,202,177
Hinsdale,2018,1155,1082
West Hinsdale,2018,306,306
Clarendon Hills,2018,799,791
Westmont,2018,1083,960
Fairview Avenue (Downers Grove),2018,415,413
Main Street (Downers Grove),2018,2492,2562
Belmont,2018,1408,1403
Lisle,2018,1895,1727
Naperville,2018,4015,3726
Route 59,2018,6339,6103
Aurora,2018,1856,1788
Kedzie,2018,41,76
Oak Park (Marion Street),2018,991,1106
River Forest,2018,448,441
Maywood,2018,87,69
Melrose Park,2018,86,107
Bellwood,2018,145,152
Berkeley,2018,145,158
Elmhurst,2018,2540,2347
Villa Park,2018,870,852
Lombard,2018,1502,1472
Glen Ellyn,2018,1929,1738
College Avenue,2018,1059,1009
Wheaton,2018,1618,1538
Winfield,2018,496,536
West Chicago,2018,586,589
Geneva,2018,1742,1681
La Fox,2018,295,227
Elburn,2018,336,278
Western Avenue (Grand),2018,836,846
Grand / Cicero,2018,80,92
Hanson Park,2018,58,60
Galewood,2018,246,265
Mars,2018,144,117
Mont Clare,2018,303,311
Elmwood Park,2018,388,449
River Grove,2018,333,282
Franklin Park,2018,392,403
Mannheim,2018,35,47
Bensenville,2018,414,406
Wood Dale,2018,596,585
Itasca,2018,555,569
Medinah,2018,439,455
Roselle,2018,1448,1369
Schaumburg,2018,1583,1563
Hanover Park,2018,1238,1200
Bartlett,2018,988,1007
National Street,2018,584,581
Elgin,2018,411,422
Big Timber Road,2018,699,664
Ogilvie Transportation Center,2018,42500,43796
Clybourn,2018,839,902
Irving Park,2018,439,662
Jefferson Park,2018,510,688
Gladstone Park,2018,180,200
Norwood Park,2018,365,374
Edison Park,2018,752,690
Park Ridge,2018,1168,1185
Dee Road,2018,594,552
Des Plaines,2018,1209,1194
Cumberland,2018,442,427
Mount Prospect,2018,1879,1782
Arlington Heights,2018,2506,2537
Arlington Park,2018,1738,1661
Palatine,2018,2482,2367
Barrington,2018,1725,1732
Fox River Grove,2018,462,413
Cary,2018,883,897
Pingree Rd.,2018,707,718
Crystal Lake,2018,1138,1071
Woodstock,2018,273,286
Harvard,2018,265,236
McHenry,2018,85,91
Healy,2018,323,361
Grayland,2018,357,324
Mayfair,2018,281,307
Forest Glen,2018,376,363
Edgebrook,2018,701,571
Morton Grove,2018,967,946
Golf,2018,355,278
Glenview,2018,1462,1459
North Glenview,2018,1163,1124
Northbrook,2018,1259,1271
Lake Cook Road,2018,1086,1193
Deerfield,2018,1133,1176
Lake Forest (West),2018,607,682
Libertyville,2018,801,753
Prairie Crossing,2018,368,397
Grayslake,2018,470,518
Round Lake,2018,395,406
Long Lake,2018,93,104
Ingleside,2018,63,68
Fox Lake,2018,322,299
Belmont Ave. (Franklin Park),2018,24,32
Schiller Park,2018,41,48
Rosemont,2018,27,28
O'Hare Transfer,2018,113,128
Prospect Heights,2018,304,272
Wheeling,2018,348,332
Buffalo Grove,2018,695,637
Prairie View,2018,415,437
Vernon Hills,2018,409,365
Mundelein,2018,276,294
Prairie Crossing (Libertyville),2018,87,113
Washington St. (Grayslake),2018,86,84
Round Lake Beach,2018,111,91
Lake Villa,2018,130,120
Antioch,2018,192,189
Ravenswood,2018,2630,2545
Rogers Park,2018,1393,1261
Main Street (Evanston),2018,1130,1023
Davis Street (Evanston),2018,1876,1980
Central Street (Evanston),2018,1346,1297
Wilmette,2018,1653,1560
Kenilworth,2018,501,511
Indian Hill,2018,387,376
Winnetka,2018,754,761
Hubbard Woods,2018,396,321
Glencoe,2018,732,633
Braeside,2018,410,379
Ravinia,2018,326,249
Highland Park,2018,1005,971
Highwood,2018,242,224
Fort Sheridan,2018,259,247
Lake Forest,2018,747,719
Lake Bluff,2018,647,641
Great Lakes,2018,262,221
North Chicago,2018,170,177
Waukegan,2018,764,737
Zion,2018,110,102
Winthrop Harbor,2018,59,73
Kenosha,2018,345,327
"35th St. / ""Lou Jones""",2018,245,316
Blue Island (Vermont Street.),2018,116,128
Joliet,2018,220,174
Clybourn,2018,835,864
Stony Island,2016,109,141
Bryn Mawr,2016,112,93
South Shore,2016,182,142
Windsor Park,2016,95,76
Cheltenham (79th Street),2016,55,67
83rd Street,2016,103,97
87th Street,2016,90,113
93rd Street (South Chicago),2016,619,631
State Street,2016,30,32
Stewart Ridge,2016,36,28
West Pullman,2016,22,19
Racine Avenue,2016,31,37
Ashland Avenue,2016,111,96
Burr Oak,2016,117,91
Blue Island,2016,181,133
Millennium Station,2016,9798,9310
Van Buren Street,2016,3141,3893
Roosevelt Road,2016,484,628
18th Street,2016,42,66
McCormick Place,2016,108,115
27th Street,2016,30,33
47th Street (Kenwood),2016,82,170
53rd Street (Hyde Park),2016,642,630
55th-56th-57th Street,2016,1542,1216
59th Street (University of Chicago),2016,674,836
63rd Street,2016,299,271
75th Street (Grand Crossing),2016,28,35
79th Street (Chatham),2016,59,51
83rd Street (Avalon Park),2016,40,55
87th Street (Woodruff),2016,41,42
91st Street (Chesterfield),2016,27,22
95th Street (Chicago State University),2016,26,41
103rd Street (Rosemoor),2016,37,42
107th Street,2016,19,27
111th Street,2016,24,38
Kensington (115th Street),2016,1120,1016
Riverdale,2016,180,195
Ivanhoe,2016,628,591
147th Street (Sibley Boulevard),2016,984,945
Harvey,2016,542,573
Hazel Crest,2016,412,387
Calumet,2016,989,1089
Homewood,2016,1308,1237
Flossmoor,2016,824,758
Olympia Fields,2016,643,665
211th Street (Lincoln Highway),2016,727,789
Matteson,2016,507,450
Richton Park,2016,1179,1146
University Park,2016,907,828
LaSalle Street,2016,12656,13020
Gresham,2016,318,473
Longwood (95th Street),2016,60,49
Washington Heights,2016,107,137
Blue Island (Vermont Street),2016,575,610
Robbins,2016,89,122
Midlothian,2016,1015,1039
Oak Forest,2016,1136,967
Tinley Park,2016,1060,959
80th Avenue (Tinley Park),2016,2050,1936
Hickory Creek,2016,999,923
Mokena,2016,604,577
New Lenox,2016,1115,954
Joliet,2016,768,734
Brainerd,2016,303,294
91st Street (Beverly Hills),2016,364,383
95th Street (Beverly Hills),2016,423,420
99th Street (Beverly Hills),2016,725,681
103rd Street (Beverly Hills),2016,759,754
107th Street (Beverly Hills),2016,451,465
111th Street (Morgan Park),2016,587,545
115th Street (Morgan Park),2016,170,167
119th Street,2016,279,264
123rd Street,2016,45,52
Prairie Street,2016,20,37
Union Station,2016,55494,55565
Wrightwood,2016,226,227
Ashburn,2016,218,239
Oak Lawn,2016,1329,1329
Chicago Ridge,2016,339,355
Worth,2016,419,431
Palos Heights,2016,238,230
Palos Park,2016,432,430
143rd Street (Orland Park),2016,548,529
153rd Street (Orland Park),2016,604,591
179th Street (Orland Park),2016,201,183
Laraway Road,2016,24,27
Manhattan,2016,22,18
Summit,2016,100,104
Willow Springs,2016,115,125
Lemont,2016,489,434
Lockport,2016,412,385
Halsted Street,2016,120,97
Western Avenue (18th),2016,69,77
Cicero,2016,185,235
LaVergne,2016,187,203
Berwyn,2016,632,682
Harlem Avenue,2016,421,377
Riverside,2016,499,574
Hollywood,2016,120,191
Brookfield,2016,572,624
Congress Park,2016,290,269
LaGrange Road,2016,1340,1452
Stone Avenue (LaGrange),2016,1046,864
Western Springs,2016,1133,1118
Highlands,2016,203,207
Hinsdale,2016,1160,1110
